iter	Passed	Remaining
0	0	39
1	0	42
2	1	39
3	1	42
4	2	49
5	3	49
6	3	49
7	4	48
8	5	51
9	5	52
10	6	52
11	7	53
12	7	51
13	8	51
14	8	50
15	9	49
16	10	48
17	10	49
18	11	49
19	12	48
20	12	48
21	13	48
22	14	48
23	15	47
24	15	46
25	15	45
26	16	43
27	16	42
28	17	42
29	17	41
30	18	40
31	18	39
32	19	38
33	19	38
34	19	37
35	20	36
36	21	35
37	21	35
38	21	34
39	22	33
40	22	32
41	22	31
42	23	31
43	23	30
44	24	29
45	24	28
46	25	28
47	25	27
48	26	27
49	26	26
50	26	25
51	27	25
52	27	24
53	28	24
54	28	23
55	28	22
56	29	21
57	29	21
58	30	20
59	30	20
60	31	19
61	31	19
62	31	18
63	32	18
64	32	17
65	33	17
66	33	16
67	34	16
68	34	15
69	35	15
70	35	14
71	35	13
72	36	13
73	36	12
74	37	12
75	37	11
76	37	11
77	38	10
78	38	10
79	38	9
80	39	9
81	39	8
82	40	8
83	40	7
84	40	7
85	41	6
86	41	6
87	42	5
88	42	5
89	42	4
90	43	4
91	43	3
92	44	3
93	44	2
94	45	2
95	45	1
96	45	1
97	46	0
98	46	0
99	47	0
