iter	Passed	Remaining
0	57	57839
1	58	29228
2	59	19694
3	60	14944
4	60	12045
5	61	10139
6	61	8751
7	62	7711
8	62	6920
9	63	6267
10	63	5748
11	64	5312
12	65	4946
13	65	4635
14	66	4363
15	66	4119
16	67	3902
17	67	3706
18	68	3534
19	68	3378
20	69	3238
21	69	3107
22	70	3000
23	71	2896
24	71	2801
25	72	2711
26	73	2631
27	73	2561
28	74	2495
29	74	2424
30	75	2363
31	76	2310
32	76	2255
33	77	2208
34	78	2156
35	78	2110
36	79	2065
37	79	2022
38	80	1983
39	81	1948
40	81	1912
41	82	1876
42	82	1844
43	83	1815
44	84	1784
45	84	1759
46	85	1735
47	86	1712
48	87	1692
49	87	1665
50	88	1643
51	89	1622
52	89	1601
53	90	1580
54	91	1567
55	91	1550
56	92	1530
57	93	1512
58	93	1498
59	94	1480
60	95	1465
61	95	1447
62	96	1429
63	96	1412
64	97	1396
65	97	1380
66	98	1365
67	98	1351
68	99	1337
69	99	1323
70	100	1312
71	101	1302
72	101	1290
73	102	1279
74	102	1268
75	103	1255
76	104	1248
77	104	1237
78	105	1227
79	105	1216
80	106	1205
81	106	1195
82	107	1184
83	107	1174
84	108	1167
85	108	1158
86	109	1148
87	109	1138
88	110	1129
89	110	1120
90	111	1111
91	111	1102
92	112	1093
93	112	1084
94	113	1077
95	113	1070
96	114	1062
97	114	1056
98	115	1049
99	116	1044
100	116	1038
101	117	1032
102	117	1025
103	118	1019
104	118	1013
105	119	1008
106	120	1004
107	121	999
108	121	993
109	121	986
110	122	980
111	122	974
112	123	968
113	123	962
114	124	957
115	125	952
116	125	945
117	125	941
118	126	936
119	127	932
120	127	927
121	127	921
122	128	918
123	129	914
124	130	910
125	130	908
126	131	904
127	132	900
128	133	902
129	134	899
130	134	894
131	135	889
132	135	884
133	136	879
134	136	874
135	136	869
136	137	864
137	137	859
138	137	854
139	138	849
140	138	844
141	138	839
142	139	834
143	139	830
144	140	825
145	140	820
146	140	816
147	141	811
148	141	807
149	141	803
150	142	798
151	142	794
152	143	791
153	143	787
154	143	784
155	144	780
156	144	776
157	145	774
158	145	771
159	146	769
160	147	766
161	147	763
162	148	762
163	148	759
164	149	756
165	149	752
166	150	748
167	150	745
168	150	741
169	151	738
170	151	735
171	152	732
172	152	728
173	152	725
174	153	721
175	153	718
176	153	714
177	154	711
178	154	708
179	154	705
180	155	702
181	155	699
182	155	696
183	156	693
184	156	689
185	156	686
186	157	683
187	157	681
188	158	680
189	159	679
190	159	677
191	160	674
192	160	672
193	161	669
194	161	667
195	162	666
196	162	664
197	163	661
198	163	658
199	164	656
200	164	654
201	165	652
202	165	649
203	165	647
204	166	645
205	166	643
206	167	640
207	167	638
208	167	635
209	168	632
210	168	630
211	168	627
212	169	626
213	169	623
214	170	621
215	170	619
216	170	616
217	171	614
218	171	612
219	172	610
220	172	609
221	173	607
222	173	605
223	174	603
224	174	602
225	175	599
226	175	597
227	175	595
228	176	593
229	176	591
230	177	589
231	177	588
232	178	586
233	178	584
234	178	582
235	179	580
236	179	578
237	180	576
238	180	575
239	180	573
240	181	571
241	181	569
242	182	567
243	182	565
244	182	563
245	183	561
246	183	559
247	183	557
248	184	555
249	184	553
250	184	551
251	185	549
252	185	547
253	185	545
254	186	543
255	186	542
256	186	540
257	187	538
258	187	536
